Request ID,Request Submitted Date and Time,Request Priority,Request Resolved Date and Time,Request Category,Request Status,Assigned/Unassigned,Request Resolved By
45000,09/03/19 00:00,3-Low,06/07/19 00:00,IT Department,Close,Assigned,John
45001,10/03/19 00:00,3-Low,10/07/19 00:00,IT Department,Close,Assigned,Paul
45002,10/02/19 00:00,3-Low,10/07/19 00:00,Sales Department,Close,Assigned,George
45003,22/03/19 00:00,3-Low,17/07/19 00:00,Sales Department,Close,Assigned,George
45004,26/04/19 00:00,3-Low,25/07/19 00:00,HR Department,Close,Assigned,George
45005,27/04/19 00:00,3-Low,10/07/19 00:00,Sales Department,Close,Assigned,John
45006,12/02/19 00:00,3-Low,09/07/19 00:00,Sales Department,Close,Assigned,John
45007,05/04/19 00:00,3-Low,07/07/19 00:00,Sales Department,Close,Assigned,John
45008,11/05/19 00:00,3-Low,03/07/19 00:00,HR Department,Close,Assigned,George
45009,12/02/19 00:00,3-Low,21/07/19 00:00,Sales Department,Close,Assigned,John
45010,29/01/19 00:00,3-Low,23/07/19 00:00,HR Department,Close,Assigned,Paul
45011,09/04/19 00:00,3-Low,30/07/19 00:00,HR Department,Close,Assigned,John
45012,27/01/19 00:00,3-Low,16/07/19 00:00,HR Department,Close,Assigned,John
45013,11/04/19 00:00,3-Low,14/07/19 00:00,IT Department,Close,Assigned,George
45014,13/03/19 00:00,3-Low,13/07/19 00:00,Sales Department,Close,Assigned,George
45015,11/03/19 00:00,3-Low,09/07/19 00:00,HR Department,Close,Assigned,John
45016,06/02/19 00:00,3-Low,23/07/19 00:00,IT Department,Close,Assigned,George
45017,05/04/19 00:00,3-Low,06/07/19 00:00,Sales Department,Close,Assigned,Paul
45018,25/04/19 00:00,3-Low,16/07/19 00:00,Sales Department,Close,Assigned,John
45019,10/03/19 00:00,3-Low,26/07/19 00:00,HR Department,Close,Assigned,George
45020,03/01/19 00:00,3-Low,18/07/19 00:00,IT Department,Close,Assigned,Paul
45021,26/05/19 00:00,3-Low,16/07/19 00:00,HR Department,Close,Assigned,George
45022,24/04/19 00:00,3-Low,10/07/19 00:00,Sales Department,Close,Assigned,George
45023,24/04/19 00:00,3-Low,08/07/19 00:00,Sales Department,Close,Assigned,Paul
45024,04/04/19 00:00,3-Low,27/07/19 00:00,Sales Department,Close,Assigned,George
45025,02/02/19 00:00,3-Low,29/07/19 00:00,IT Department,Close,Assigned,George
45026,03/01/19 00:00,3-Low,15/07/19 00:00,Sales Department,Close,Assigned,John
45027,22/03/19 00:00,3-Low,27/07/19 00:00,IT Department,Close,Assigned,Paul
45028,12/05/19 00:00,3-Low,13/07/19 00:00,HR Department,Close,Assigned,John
45029,06/02/19 00:00,3-Low,07/07/19 00:00,Sales Department,Close,Assigned,Paul
45030,05/03/19 00:00,3-Low,07/07/19 00:00,Sales Department,Close,Assigned,George
45031,04/04/19 00:00,3-Low,16/07/19 00:00,Sales Department,Close,Assigned,Paul
45032,12/02/19 00:00,3-Low,29/07/19 00:00,Sales Department,Close,Assigned,George
45033,07/02/19 00:00,3-Low,28/07/19 00:00,Sales Department,Close,Assigned,George
